"","longitude","latitude","k3","k4","k5","k6"
"10107",85.51712,22.466878,1,1,1,1
"10284",90.556866,26.479468,1,1,1,1
"10285",92.882619,25.853159,1,1,1,1
"10326",74.778838,34.073104,1,1,1,1
"10345",85.335867,22.7429,3,3,3,3
"10376",94.199338,24.34303,1,1,1,1
"10380",85.335567,22.743335,3,3,3,3
"10496",74.462385,34.287432,3,3,3,3
"10533",74.797368,34.083658,3,3,3,3
"10567",84.477637,24.035711,2,2,2,2
"10599",74.463576,34.284523,3,3,3,3
"10866",91.909924,23.846698,3,4,5,5
"10874",81.895253,18.363526,3,4,4,4
"10875",84.6833,23.4333,1,1,1,1
"10914",84.240173,23.13583,3,3,3,3
"10916",80.654195,19.332017,3,3,3,3
"10917",82.882905,20.397205,1,1,1,1
"10919",80.97773,18.196037,1,1,1,1
"10920",80.97773,18.196037,3,3,3,3
"10928",93.954688,25.038664,3,4,5,5
"10966",84.504337,23.743805,1,1,1,1
"10981",85.25626,25.751832,1,1,1,1
"10986",86.220238,24.92326,1,1,1,1
"10987",84.37,24.75,2,2,2,2
"11007",85.33,23.35,1,1,1,1
"11008",84.541669,23.04917,1,1,1,1
"11009",84.247839,23.135398,3,3,3,3
"11122",84.435647,24.656056,1,1,1,1
"11123",84.435647,24.656056,1,1,1,1
"11124",84.435647,24.656056,1,1,1,1
"11125",84.435647,24.656056,1,1,1,1
"11126",84.435647,24.656056,1,1,1,1
"11127",84.435647,24.656056,1,1,1,1
"11128",84.435647,24.656056,1,1,1,1
"11129",86.175176,24.950248,1,1,1,1
"11130",86.175176,24.950248,3,4,4,4
"11131",84.435647,24.656056,1,1,1,1
"11216",93.967437,24.543551,1,1,1,1
"11320",90.914512,25.461952,3,4,4,4
"11321",90.886703,25.580692,3,4,4,4
"11335",77.570329,13.00807,1,1,1,1
"11370",81.254482,19.703365,1,1,1,1
"11403",82.222438,18.543826,3,4,5,5
"11426",93.908887,24.823976,1,1,1,1
"11441",83.241677,21.425586,3,4,4,6
"11450",93.87042,24.931587,1,1,1,1
"11451",94.254148,24.303572,1,1,1,1
"11465",84.238515,23.395833,1,1,1,1
"11522",82.066398,18.304173,3,4,5,5
"11561",82.219398,18.547731,2,2,2,2
"11581",90.787053,25.820599,3,4,4,4
"11582",90.787053,25.820599,3,3,3,3
"11627",74.503012,34.242779,3,3,3,3
"11637",93.949504,24.807149,3,4,4,4
"11668",81.251883,20.207901,3,3,3,3
"11686",85.230102,23.614329,3,4,4,4
"11714",94.065957,24.66644,1,1,1,1
"11765",81.533132,18.899466,3,4,4,4
"11858",79.557037,12.111837,1,1,1,1
"11869",81.969846,18.606524,3,4,4,4
"11870",79.073725,12.229803,2,2,2,2
"11906",78.162915,12.117397,2,2,2,2
"11940",78.488639,12.103849,2,2,2,2
"12001",86.540267,25.197613,1,1,1,1
"12002",86.540267,25.197613,1,1,1,1
"12029",81.94931,18.401443,1,1,1,1
"12132",89.706444,26.263204,3,3,3,3
"12133",89.728564,26.273745,3,3,3,3
"12156",74.896874,33.871983,3,3,3,3
"12246",81.576095,19.143321,3,3,3,3
"12257",81.303929,18.25939,3,3,3,3
"12289",80.8167,18.8,3,4,4,6
"12323",81.030222,21.097103,2,2,2,2
"12407",81.183095,18.23679,3,3,3,3
"12466",80.8167,18.8,3,3,3,3
"12591",80.816753,18.800937,3,4,4,6
"12603",81.183205,18.236864,3,3,3,3
"12604",81.214279,18.284126,3,3,3,3
"12651",81.953482,18.352486,3,3,3,3
"12660",74.902288,33.87351,3,3,3,3
"12664",81.874222,18.865511,3,4,4,4
"12717",81.35,18.9,3,4,4,4
"12835",81.662378,18.394764,3,3,3,3
"12879",77.438029,27.788175,1,1,1,1
"12880",77.437118,27.787302,1,1,1,1
"12881",77.438801,27.787644,1,1,1,1
"12882",77.438115,27.791478,1,1,1,1
"12939",75.148983,33.733336,1,1,1,1
"13030",90.515141,25.860614,3,4,5,5
"13037",81.031703,21.096473,3,3,3,3
"13061",93.171649,26.57701,3,4,5,5
"13131",74.92321,33.883527,3,3,3,3
"13152",85.053221,22.102661,1,1,1,1
"13161",81.661287,18.391271,3,3,3,3
"13217",80.006844,20.181843,3,4,4,4
"13227",86.220503,24.92754,1,1,1,1
"13281",86.175176,24.950248,1,1,1,1
"13329",88.138754,25.042452,3,4,4,4
"13330",90.616793,25.495444,1,1,1,1
"13354",90.22648,25.566559,1,1,1,1
"13466",81.266205,18.718325,1,1,1,1
"13467",81.591589,20.073063,3,3,3,3
"13477",74.797368,34.083658,3,3,3,3
"13530",85.607772,23.84879,1,1,1,1
"13534",90.563609,25.330097,3,4,4,4
"13539",81.248846,19.711445,3,3,3,3
"13559",85.364771,26.124155,3,4,4,4
"13578",88.192384,25.210859,1,1,1,1
"13601",88.192384,25.210859,1,1,1,1
"13608",74.462463,34.28751,3,3,3,3
"13633",84.895869,26.696457,1,1,1,1
"13658",80.006844,20.181843,3,3,3,3
"13669",79.474959,19.639543,3,3,3,3
"13672",74.462293,34.287416,1,1,1,1
"13673",74.798011,34.082019,1,1,1,1
"13780",75.117302,33.929901,3,3,3,3
"13791",80.003366,19.413174,3,4,5,5
"13797",79.134746,12.915447,3,4,4,6
"13805",87.418416,24.361258,1,1,1,1
"13824",94.028678,25.276394,3,4,4,4
"13850",80.551997,18.302432,3,3,3,3
"13853",93.49534,24.988392,3,3,3,3
"13959",81.933021,18.055828,3,4,5,5
"13960",81.852386,18.139245,3,4,5,5
"13977",84.991275,24.695102,1,1,1,1
"13978",84.991275,24.695102,1,1,1,1
"13979",84.991275,24.695102,1,1,1,1
"13980",84.991275,24.695102,1,1,1,1
"14203",80.309482,20.271723,3,3,3,3
"14274",80.989242,18.684729,1,1,1,1
"14333",84.655808,24.977651,1,1,1,1
"14334",74.795145,34.066041,1,1,1,1
"14341",83.280034,19.021376,3,3,3,3
"14376",74.918056,34.016667,3,4,4,4
"14378",86.190081,25.051842,1,1,1,1
"14418",88.319072,22.104615,3,4,4,4
"14422",78.149837,11.65761,3,4,4,4
"14487",81.242411,19.723535,3,4,4,6
"14501",88.433333,22,3,4,4,6
"14511",84.503732,23.241425,3,4,4,6
"14547",85.815343,22.616173,3,4,5,5
"14568",94.15188,27.206273,1,1,1,1
"14569",94.15188,27.206273,1,1,1,1
"14570",94.15188,27.206273,1,1,1,1
"14585",85.520024,22.462537,3,4,4,4
"14615",93.587917,26.180755,1,1,1,1
"14632",85.189404,23.023638,3,3,3,3
"14708",85.36472,26.120888,3,4,4,4
"14751",84.185606,24.129604,3,4,5,5
"14769",91.753346,26.179222,1,1,1,1
"14870",91.992718,23.851459,3,4,5,5
"14922",81.053303,19.974869,3,4,5,5
"14932",94.02804,25.006355,3,4,5,5
"14977",84.792556,24.810307,1,1,1,1
"15001",84.870937,24.204235,1,1,1,1
"15056",84.487294,24.955607,1,1,1,1
"15158",90.690783,25.501158,1,1,1,1
"15191",93.497468,25.960734,1,1,1,1
"15198",93.72759,25.906267,1,1,1,1
"15208",93.880803,24.966575,3,4,5,5
"15223",93.778168,26.020855,3,4,4,4
"15246",93.465358,26.162961,3,3,3,3
"15248",90.663075,25.750101,3,3,3,3
"15268",93.941691,24.797836,3,4,4,4
"15356",90.525782,25.567169,3,3,3,3
"15392",93.941691,24.797836,1,1,1,1
"15394",90.547124,26.503757,1,1,1,1
"15395",90.644049,26.63755,1,1,1,1
"15396",92.356469,26.376618,1,1,1,1
"15419",90.269415,26.398022,1,1,1,1
"15420",90.269415,26.398022,1,1,1,1
"15421",90.556866,26.479468,1,1,1,1
"15423",93.906269,24.663717,1,1,1,1
"15424",93.950864,24.776646,1,1,1,1
"15463",94.26765,24.214121,1,1,1,1
"15487",93.934295,24.849665,1,1,1,1
"15523",89.804903,26.469478,1,1,1,1
"15594",90.563609,25.330097,3,3,3,3
"15632",92.030881,26.433529,1,1,1,1
"15761",75.05077,33.788992,3,3,3,3
"15762",75.024433,33.762523,3,3,3,3
"15767",83.04822,18.500361,1,1,1,1
"15826",81.934532,19.203477,3,3,3,3
"15838",90.556866,26.479468,1,1,1,1
"15885",89.526855,26.49184,1,1,1,1
