"","longitude","latitude","k3","k4","k5","k6"
"13263",67.728027,30.38522,2,3,3,3
"13405",71.558456,33.794329,2,3,3,3
"13424",71.558111,33.79455,2,3,5,5
"13433",71.503744,34.730327,2,3,3,3
"13450",71.521948,34.730041,2,3,3,3
"13452",71.54603,34.004289,3,4,4,4
"13454",67.035899,24.934856,2,2,2,2
"13485",71.228965,34.568578,1,1,1,1
"13486",67.011261,30.203414,1,1,1,1
"13507",74.8312,35.334733,2,3,5,5
"13598",69.164586,29.035359,2,3,5,5
"13599",69.15,29.033333,1,1,1,1
"13609",65.478705,26.098841,1,1,1,1
"13612",71.544285,34.011689,2,3,5,5
"13613",70.6,32.99,2,2,2,2
"13614",67.04484,24.866506,1,1,1,1
"13726",71.553286,33.914019,1,1,1,1
"13728",66.96627,30.177166,3,4,4,4
"13852",71.736757,33.836457,2,2,2,2
"13928",71.54483,34.004299,2,3,5,5
"13948",74.308684,31.564897,1,1,1,1
"13989",67.018173,30.209459,2,2,2,2
"14004",66.957103,30.181994,3,4,4,4
"14162",63.056003,26.00403,2,3,5,5
"14247",64.412815,28.884362,2,3,5,5
"14482",67.065821,24.901724,2,2,2,2
"14483",67.195759,24.847188,2,3,3,3
"14518",67.01401,30.19702,2,3,5,5
"14608",68.847513,27.705415,3,4,4,4
"14659",66.992984,24.893989,1,1,1,1
"14671",71.606517,34.012952,2,2,2,2
"14677",74.289803,35.918091,1,1,1,1
"14697",70.100484,33.899273,3,4,4,4
"14698",70.100484,33.899273,3,4,4,4
"14746",71.54254,33.860367,2,3,5,5
"14750",62.3225,25.126389,1,1,1,1
"14771",67.018173,30.209459,1,1,1,1
"14812",70.9095,31.823759,3,4,4,4
"14887",67.028061,24.893379,1,1,1,1
"15013",67.15161,24.858715,2,3,5,5
"15026",67.034355,24.983724,2,2,2,2
"15083",67.333333,29.866667,1,1,1,1
"15104",67.337753,29.880988,1,1,1,1
"15105",67.337753,29.880988,1,1,1,1
"15106",67.337753,29.880988,1,1,1,1
"15107",67.337753,29.880988,1,1,1,1
"15114",74.091003,35.42207,2,3,5,5
"15117",67.062752,24.795618,1,1,1,1
"15118",67.054445,24.794188,1,1,1,1
"15119",67.063336,24.789279,1,1,1,1
"15120",67.06118,24.79515,1,1,1,1
"15193",67.135825,25.018032,2,3,5,5
"15214",66.997369,30.230483,2,3,5,5
