"","longitude","latitude","k3","k4","k5","k6"
"3493","69.966903","33.366843","2","2","2","3"
"3494","64.519066","31.693083","3","3","4","5"
"3499","69.690498","34.833839","1","1","1","1"
"3507","70.799039","34.195499","2","2","2","3"
"3510","64.564087","31.823601","3","3","3","4"
"3512","64.292107","35.684521","3","3","4","5"
"3531","70.621679","34.171831","2","2","2","3"
"3540","64.52243","31.767166","3","4","5","6"
"3572","68.934585","33.796944","3","3","4","5"
"3575","68.420464","33.551708","1","1","1","1"
"3584","68.420464","33.551708","1","1","1","2"
"3586","68.606407","34.971422","3","4","5","6"
"3592","68.647247","32.937172","1","1","1","2"
"3607","64.117218","31.558117","3","3","3","4"
"3608","66.857472","36.750714","3","3","4","5"
"3609","65.931084","36.212742","1","1","1","1"
"3610","64.864769","33.68856","3","3","3","4"
"3611","66.625336","36.687199","1","1","1","2"
"3612","66.951162","36.474533","1","1","1","2"
"3615","65.700272","31.61088","2","2","2","3"
"3616","65.700272","31.61088","2","2","2","3"
"3630","68.102051","33.191738","3","3","4","5"
"3637","69.649444","34.855556","3","3","3","4"
"3642","61.981391","32.677851","3","3","4","5"
"3651","66.046353","35.670747","1","1","1","2"
"3662","","","1","1","1","1"
"3673","69.093611","32.733056","1","1","1","2"
"3675","66.18107","36.94907","3","3","3","4"
"3677","71.127398","34.910931","3","3","4","5"
"3688","63.958611","31.363824","1","1","1","2"
"3702","70.074132","34.27323","1","1","1","2"
"3723","69.835915","34.997136","2","2","2","3"
"3738","66.141526","32.927129","1","1","1","2"
"3758","62.343346","33.363956","2","2","2","3"
"3759","68.512346","32.672674","1","1","1","2"
"3766","68.862656","35.006187","1","1","1","1"
"3770","67.624498","32.740789","1","1","1","2"
"3771","71.406188","35.002193","3","4","5","6"
"3777","64.833889","32.073333","3","3","3","4"
"3780","71.528625","35.225369","3","3","4","5"
"3797","62.116668","32.374201","3","4","5","6"
"3804","68.714007","34.007712","1","1","1","2"
"3805","66.722592","36.755474","2","2","2","3"
"3816","65.62645","36.816231","3","3","3","4"
"3860","70.074132","34.27323","1","1","1","2"
"3863","63.958611","31.363647","1","1","1","1"
"3867","67.624498","32.740789","3","4","5","6"
"3876","71.528625","35.225369","2","2","2","3"
"3882","68.014961","33.051716","1","1","1","2"
"3887","69.171703","34.528455","2","2","2","3"
"3888","66.398056","31.008056","2","2","2","3"
"3893","68.748022","33.646471","3","3","4","5"
"3894","67.042618","31.57276","1","1","1","2"
"3904","66.26788","32.7334","1","1","1","2"
"3921","70.407486","34.328977","1","1","1","2"
"3929","63.827434","35.737595","1","1","1","1"
"3930","64.054363","32.009131","3","3","4","5"
"3948","71.155","34.759722","3","3","4","5"
"3954","62.955179","32.267685","1","1","1","1"
"3961","69.649444","34.855556","1","1","1","2"
"3962","65.495156","31.665015","3","3","4","5"
"3971","64.781443","32.363889","1","1","1","2"
"3974","69.254974","34.94025","1","1","1","1"
"3976","62.947807","32.241694","3","3","4","5"
"3977","65.253059","34.520927","3","3","3","4"
"3978","68.810885","36.630605","1","1","1","2"
"3989","64.776314","35.92017","1","1","1","2"
"3993","65.700272","31.61088","2","2","2","3"
"3994","65.664703","31.563177","2","2","2","3"
"3998","67.189449","34.90733","3","4","5","6"
"4003","70.407486","34.328977","3","4","5","6"
"4004","65.075012","36.845324","3","3","4","5"
"4007","68.45","33.316667","3","4","5","6"
"4015","69.920151","33.33445","2","2","2","3"
"4016","68.94899","33.970982","1","1","1","2"
"4028","69.05","34.55","2","2","2","3"
"4039","67.189449","34.90733","1","1","1","2"
"4040","67.189449","34.90733","3","3","4","5"
"4057","68.916679","33.934269","3","3","3","4"
"4058","68.916679","33.934269","3","3","3","4"
"4061","64.369167","31.583056","3","3","4","5"
"4068","64.538846","35.857513","3","3","3","4"
"4078","66.05","32.847222","3","3","3","4"
"4083","70.083333","33.45","2","2","2","3"
"4084","64.564087","31.823601","1","1","1","1"
"4092","69.07318","35.115813","3","3","4","5"
"4097","66.05","32.847222","1","1","1","2"
"4098","66.05","32.847222","1","1","1","2"
"4102","70.410004","34.230237","1","1","1","2"
"4122","65.931933","36.213149","3","4","5","6"
"4123","68.8","36.1","1","1","1","2"
"4126","67.189449","34.90733","3","3","4","5"
"4127","65.75126","34.558666","1","1","1","2"
"4133","61.47353","34.341728","1","1","1","2"
"4149","69.941634","33.821926","3","3","4","5"
"4157","64.781443","32.363889","1","1","1","2"
"4158","64.781443","32.363889","1","1","1","2"
"4159","68.860337","36.726571","1","1","1","2"
"4168","67.90467","32.884051","1","1","1","2"
"4171","68.495209","33.370621","3","3","4","5"
"4212","71.338644","35.409873","2","2","2","3"
"4220","65.234917","35.833408","3","3","3","4"
"4240","71.219975","35.558627","3","3","3","4"
"4242","69.224298","33.598096","1","1","1","2"
"4254","63.958611","31.363647","1","1","1","2"
"4255","64.360284","31.583196","1","1","1","2"
"4263","68.420464","33.551708","1","1","1","2"
"4264","64.684424","31.793202","3","3","4","5"
"4270","67.416481","32.519241","3","3","4","5"
"4282","63.769538","32.507639","3","3","4","5"
"4285","65.700272","31.61088","2","2","2","3"
"4314","68.763192","33.895519","3","3","4","5"
"4317","66.712915","32.529027","3","3","4","5"
"4333","68.8014","36.6933","3","3","4","5"
"4342","64.056327","31.49033","1","1","1","2"
"4344","67.416481","32.519241","3","4","5","6"
"4345","68.420464","33.551708","3","3","4","5"
"4394","65.954552","37.018135","3","3","4","5"
"4409","62.115719","32.374802","1","1","1","2"
"4410","62.115719","32.374802","1","1","1","2"
"4426","68.793766","34.488023","1","1","1","2"
"4428","66.52239","31.461224","1","1","1","2"
"4429","66.52239","31.461224","1","1","1","2"
"4430","66.52239","31.461224","1","1","1","2"
"4431","64.781443","32.363889","3","3","3","4"
"4432","64.781443","32.363889","1","1","1","2"
"4434","64.727036","31.8699","1","1","1","2"
"4449","69.171703","34.528455","3","3","4","5"
"4458","65.700272","31.61088","2","2","2","3"
"4459","65.700272","31.61088","2","2","2","3"
"4460","65.752","36.665","2","2","2","3"
"4461","68.420464","33.551708","3","4","5","6"
"4482","64.370948","35.817127","3","4","5","6"
"4509","67.853264","32.839077","1","1","1","2"
"4515","65.564604","31.627475","3","3","3","4"
"4534","62.266621","33.63591","1","1","1","2"
"4549","68.793766","34.488023","3","4","5","6"
"4552","68.016667","36.265278","3","4","5","6"
"4558","65.700272","31.61088","3","4","5","6"
"4559","62.136421","33.307049","3","4","5","6"
"4560","69.07318","35.115813","1","1","1","2"
"4561","69.07318","35.115813","1","1","1","2"
"4571","68.745622","36.177989","3","4","5","6"
"4589","62.585045","34.485958","1","1","1","2"
"4601","68.860882","36.725046","3","4","5","6"
"4602","66.397805","31.007894","1","1","1","2"
"4603","70.907124","35.325022","3","4","5","6"
"4614","70.741173","35.120201","3","4","5","6"
"4619","64.292107","35.684521","3","3","4","5"
"4623","63.85825","32.248981","3","3","4","5"
"4624","68.86689","33.981239","2","2","2","3"
"4643","68.016667","36.265278","1","1","1","2"
"4669","64.720039","35.988462","1","1","1","2"
"4674","66.122818","32.880966","3","3","3","4"
"4683","69.621456","34.981057","1","1","1","2"
"4688","66.122818","32.880966","1","1","1","2"
"4722","70.193208","34.229213","1","1","1","2"
"4738","68.793766","34.488023","3","4","5","6"
"4755","67.040911","31.573838","1","1","1","2"
"4780","68.862656","35.006187","3","3","4","5"
"4783","63.782474","35.73941","3","3","4","5"
"4812","68.635278","35.988056","1","1","1","2"
"4834","64.416667","33.516667","1","1","1","2"
"4856","68.801575","36.694511","1","1","1","2"
"4876","62.58844","34.484219","3","3","4","5"
"4905","68.839041","34.359732","3","3","4","5"
"4907","68.945278","32.389444","3","3","3","4"
"4925","68.579345","34.107063","3","4","5","6"
"4926","64.564087","31.823601","3","3","3","4"
"4927","70.501409","34.202763","3","3","3","4"
"5024","68.654381","34.475553","3","3","4","5"
"5030","64.47538","31.765989","1","1","1","2"
"5040","69.029744","34.002321","1","1","1","2"
"5076","70.360317","34.276211","1","1","1","2"
"5093","63.782474","35.73941","1","1","1","2"
"5094","63.335547","35.593853","1","1","1","2"
"5102","71.321389","34.978611","1","1","1","2"
"5103","71.419167","34.992222","1","1","1","2"
"5104","71.275542","34.928284","3","3","4","5"
"5105","70.978456","34.806159","1","1","1","2"
"5106","71.152778","34.874167","1","1","1","2"
"5112","67.679718","35.329753","3","3","4","5"
"5116","61.687508","35.104897","1","1","1","2"
"5177","65.048244","35.145475","1","1","1","2"
"5194","68.956566","34.591166","1","1","1","2"
"5195","69.192392","34.014552","2","2","2","3"
"5196","69.383108","33.706199","3","3","4","5"
"5232","71.152778","34.874167","2","2","2","3"
"5244","62.479768","32.625149","1","1","1","2"
"5250","68.654381","34.475553","3","3","4","5"
"5251","66.516864","36.085451","3","3","4","5"
"5265","64.243576","31.6364","3","3","4","5"
"5289","70.078333","33.64001","1","1","1","2"
"5291","64.833889","32.073333","3","3","4","5"
"5299","64.781443","32.363889","1","1","1","2"
"5314","63.424285","32.164203","3","3","3","4"
"5327","69.224272","33.598115","1","1","1","2"
"5329","62.324856","33.398435","3","4","5","6"
"5348","70.097949","34.809055","3","4","5","6"
"5369","70.859665","34.631948","3","3","4","5"
"5375","69.516667","36.716667","3","4","5","6"
"5382","70.667035","34.08218","3","3","4","5"
"5389","64.564087","31.823601","3","4","5","6"
"5411","61.86","30.96","2","2","2","3"
"5412","61.86","30.96","2","2","2","3"
"5413","61.86","30.96","2","2","2","3"
"5425","65.049683","32.270119","1","1","1","2"
"5426","71.298999","37.769393","3","4","5","6"
"5446","69.965356","33.36667","1","1","1","2"
"5516","68.745622","36.177989","1","1","1","2"
"5533","62.479768","32.625149","3","3","4","5"
"5534","65.564604","31.627475","3","3","4","5"
"5559","62.136421","33.307049","1","1","1","2"
"5572","67.679718","35.329753","1","1","1","2"
"5573","64.360291","31.5832","1","1","1","2"
"5574","65.476015","30.996042","3","3","4","5"
"5575","62.115869","32.374815","3","3","4","5"
"5593","69.224272","33.598115","3","4","5","6"
"5609","69.2125","34.565833","1","1","1","2"
"5643","62.947807","32.241694","3","4","5","6"
"5644","69.65","33.833333","3","4","5","6"
"5646","69.449662","35.220862","1","1","1","2"
"5691","64.94","32.39","3","3","4","5"
"5714","65.700272","31.61088","3","4","5","6"
"5720","63.85825","32.248981","3","3","4","5"
"5724","70.14558","34.689769","3","3","4","5"
"5744","70.913038","34.990013","2","2","2","3"
"5746","68.420464","33.551708","1","1","1","2"
"5759","65.884125","32.629978","3","3","4","5"
"5760","68.338333","33.395833","3","4","5","6"
"5787","65.454167","31.547778","3","4","5","6"
"5817","68.763192","33.895519","2","2","2","3"
"5826","65.564604","31.627475","3","4","5","6"
"5832","64.306967","31.387285","3","3","4","5"
"5845","71.338644","35.409873","1","1","1","2"
"5859","64.114227","31.517771","3","3","3","4"
"5870","69.649444","34.855556","3","4","5","6"
"5881","70.930077","34.03949","2","2","2","3"
"5885","65.116963","36.949911","3","4","5","6"
"5901","68.420464","33.551708","3","3","3","4"
"5905","69.007222","34.085278","3","3","4","5"
"5970","69.382207","33.698372","1","1","1","2"
"5983","69.171703","34.528455","2","2","2","3"
"6040","62.115719","32.374802","1","1","1","2"
"6041","62.115719","32.374802","1","1","1","2"
"6050","70.242778","34.553889","1","1","1","2"
"6057","69.254819","34.940277","1","1","1","2"
"6058","68.860882","36.725046","2","2","2","3"
"6080","62.065","32.489167","3","4","5","6"
"6097","70.200673","34.50818","1","1","1","2"
"6135","64.194167","31.866667","2","2","2","3"
"6143","64.564087","31.823601","1","1","1","2"
"6185","63.913603","34.424068","1","1","1","2"
"6188","69.171703","34.528455","2","2","2","3"
"6189","64.564087","31.823601","2","2","2","3"
"6190","71.127369","34.910703","2","2","2","3"
"6208","70.378611","34.291389","1","1","1","2"
"6216","65.700272","31.61088","2","2","2","3"
"6224","71.338644","35.409873","3","3","3","4"
"6241","65.456374","32.623813","1","1","1","2"
"6254","64.306967","31.387285","1","1","1","2"
"6255","64.896797","31.679167","1","1","1","2"
"6265","62.168857","34.046771","3","3","4","5"
"6300","67.416481","32.519241","2","2","2","3"
"6320","70.101264","34.296229","3","3","4","5"
"6344","64.781443","32.363889","3","3","3","4"
"6348","69.031454","34.002056","2","2","2","3"
"6359","71.338644","35.409873","3","3","3","4"
"6363","69.514916","35.313029","1","1","1","2"
"6389","62.732388","32.689845","3","4","5","6"
"6396","70.193208","34.229213","3","3","3","4"
"6407","62.266621","33.63591","1","1","1","2"
"6414","70.242778","34.553889","1","1","1","2"
"6415","61.47402","34.340724","3","3","3","4"
"6419","71.185312","36.761025","3","3","3","4"
"6420","70.667035","34.08218","1","1","1","2"
"6423","61.47402","34.340724","3","3","3","4"
"6429","64.781443","32.363889","3","3","3","4"
"6458","69.920151","33.33445","2","2","2","3"
"6464","65.884125","32.629978","1","1","1","1"
"6498","70.908177","34.989264","1","1","1","2"
"6505","64.783333","33.616667","1","1","1","1"
"6520","62.115719","32.374802","1","1","1","2"
"6561","68.801575","36.694511","1","1","1","1"
"6562","70.361922","34.872933","1","1","1","1"
"6564","65.700272","31.61088","2","2","2","3"
"6581","68.420464","33.551708","3","3","4","5"
"6593","62.356516","33.266693","3","3","3","4"
"6601","65.049683","32.270119","2","2","2","3"
"6609","64.360291","31.5832","2","2","2","3"
"6610","64.360291","31.5832","1","1","1","2"
"6626","70.954954","34.352019","3","3","3","4"
"6642","65.884125","32.629978","3","3","4","5"
"6643","69.179698","37.035818","3","3","3","4"
"6701","68.840647","34.361133","1","1","1","2"
"6702","64.243576","31.6364","1","1","1","2"
"6717","67.189449","34.90733","1","1","1","2"
"6729","66.816925","37.333389","1","1","1","2"
"6744","65.049683","32.270119","1","1","1","2"
"6748","68.763192","33.895519","3","3","4","5"
"6750","68.420464","33.551708","1","1","1","2"
"6753","70.286227","34.740667","1","1","1","1"
"6766","67.040911","31.573838","2","2","2","3"
"6799","68.518079","34.949091","3","3","4","5"
"6815","68.383239","33.933668","1","1","1","2"
"6830","64.779497","32.313025","3","3","3","4"
"6839","64.306967","31.387285","1","1","1","1"
"6841","70.447778","34.434167","3","4","5","6"
"6842","65.049683","32.270119","3","3","3","4"
"6846","63.675056","35.879164","3","4","5","6"
"6869","69.031563","33.435965","2","2","2","3"
"6890","64.564087","31.823601","3","3","3","4"
"6910","61.981391","32.677851","3","3","4","5"
"6915","66.814704","36.989164","1","1","1","2"
"6946","70.053017","33.641871","3","3","3","4"
"6948","64.833889","32.073333","3","3","4","5"
"6949","69.254819","34.940277","1","1","1","1"
"6953","70.360317","34.276211","3","3","3","4"
"6972","61.559609","32.15517","3","3","4","5"
"6974","64.212906","31.13228","3","3","4","5"
"6995","63.176251","34.372474","3","3","4","5"
"6996","69.798423","33.305946","1","1","1","2"
"7017","70.78821","34.263149","1","1","1","2"
"7018","70.78821","34.263149","1","1","1","1"
"7021","70.261389","34.722778","1","1","1","1"
"7024","63.86245","33.146563","1","1","1","2"
"7048","64.784832","35.913399","3","3","4","5"
"7069","67.766708","32.81493","1","1","1","2"
