"","eventid","country_txt","latitude","longitude","attacktype1","targtype1","region","weaptype1","imonth","suicide","gname","guncertain1","doubtterr","groups"
"4791",201207230028,"Iraq",35.713266,41.760647,"3","3","10","6","7","1","Al-Qaida in Iraq","0","0",3
"4792",201207230029,"Iraq",35.816667,43.266667,"3","4","10","6","7","0","Al-Qaida in Iraq","0","1",3
"4793",201207230030,"Iraq",36.34,43.13,"3","4","10","6","7","0","Al-Qaida in Iraq","0","1",3
"4794",201207230031,"Iraq",35.46883,44.39098,"3","21","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4795",201207230032,"Iraq",35.46883,44.39098,"3","3","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4796",201207230033,"Iraq",35.46883,44.39098,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4797",201207230034,"Iraq",35.46883,44.39098,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4798",201207230035,"Iraq",35.46883,44.39098,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4799",201207230036,"Iraq",35.46883,44.39098,"3","2","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4800",201207230037,"Iraq",35.46883,44.39098,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4801",201207230038,"Iraq",35.688611,44.109167,"3","20","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4802",201207230039,"Iraq",35.688611,44.109167,"3","20","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4803",201207230040,"Iraq",31.989167,44.924722,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4804",201207230041,"Iraq",34.533753,43.483738,"2","17","10","5","7","0","Al-Qaida in Iraq","0","0",2
"4805",201207230042,"Iraq",34.333333,45.383333,"3","3","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4806",201207230043,"Iraq",34.333333,45.383333,"2","4","10","5","7","0","Al-Qaida in Iraq","0","1",2
"4807",201207230044,"Iraq",33.75,44.633333,"3","17","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4808",201207230045,"Iraq",33.295556,44.341667,"3","1","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4809",201207230046,"Iraq",33.664354,44.373779,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4810",201207230047,"Iraq",33.325,44.422,"3","1","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4811",201207230048,"Iraq",36.229574,42.236244,"3","3","10","6","7","1","Al-Qaida in Iraq","0","0",3
"4860",201207250010,"Iraq",34.366667,43.816667,"2","3","10","5","7","0","Al-Qaida in Iraq","0","0",2
"4972",201207310002,"Iraq",33.3,44.433333,"3","3","10","6","7","1","Al-Qaida in Iraq","0","0",3
"4973",201207310003,"Iraq",33.3,44.433333,"3","1","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4976",201207310006,"Iraq",33.3,44.433333,"2","2","10","5","7","0","Al-Qaida in Iraq","1","0",2
"5253",201208080024,"Iraq",34.929167,43.493056,"2","2","10","5","8","0","Al-Qaida in Iraq","1","0",2
"5318",201208110005,"Iraq",34.716667,44.583333,"2","14","10","5","8","0","Al-Qaida in Iraq","1","0",2
"5350",201208120010,"Iraq",34.716667,44.583333,"2","14","10","5","8","0","Al-Qaida in Iraq","1","0",2
"5351",201208120011,"Iraq",34.716667,44.583333,"3","3","10","6","8","0","Al-Qaida in Iraq","1","0",3
"5436",201208150003,"Iraq",33.75,44.633333,"3","3","10","6","8","0","Al-Qaida in Iraq","1","0",3
